place,title,time,pay,date
부산 금정구,부산구서DT,시간협의,"시급8,590",3분전
경기 의정부,KFC 의정부HP,시간협의,"시급8,590",9분전
서울 구로구,구로디지털2,시간협의,"시급8,590",22분전
부산 부산진,부산지오21,시간협의,"시급8,590",28분전
서울 서초구,KFC 강남역점,17:00~23:30,"시급8,590",36분전
서울 마포구,홍익대,00:00~24:00,"시급8,590",40분전
충남 아산시,아산터미널,16:00~22:30,"시급8,590",49분전
서울 강남구,학동역,18:00~02:00,"시급8,590",58분전
서울 중랑구,사가정,16:00~01:30,"시급8,590",1시간전
서울 중랑구,사가정,16:00~01:30,"시급8,590",1시간전
경기 고양시,KFC 행신역,17:00~24:00,"시급8,590",1시간전
서울 강남구,학동역,23:00~07:00,"시급8,590",1시간전
서울 강남구,학동역,10:00~17:00,"시급8,590",1시간전
서울 강남구,학동역,10:00~17:00,"시급8,590",1시간전
경기 김포시,김포,18:00~23:30,"시급8,590",2시간전
서울 관악구,서울대입구역,12:00~24:50,"시급8,590",2시간전
서울 강서구,우장산역,09:00~24:00,"시급8,590",2시간전
경기 고양시,일산장항,09:00~24:00,"시급8,590",2시간전
경기 성남시,분당정자,09:30~23:00,"시급8,590",2시간전
서울 강남구,압구정1,17:00~22:30,"시급8,590",2시간전
서울 중랑구,사가정,16:00~01:30,"시급8,590",2시간전
대전 서구,대전타임월드,시간협의,"시급8,590",2시간전
대전 유성구,KFC 노은역,09:00~24:00,"시급8,590",3시간전
대전 유성구,대전타임월드,시간협의,"시급8,590",3시간전
경기 김포시,김포,17:00~23:30,"시급8,590",3시간전
대전 서구,대전타임월드,시간협의,"시급8,590",3시간전
서울 서초구,KFC 강남역점,17:00~23:30,"시급8,590",3시간전
서울 서초구,KFC 강남역점,10:30~17:00,"시급8,590",3시간전
전남 순천시,순천연향동,16:00~23:00,"시급8,590",3시간전
경기 성남시,분당정자,09:30~23:00,"시급8,590",3시간전
대전 유성구,KFC 노은역,09:00~24:00,"시급8,590",3시간전
경기 안양시,관양1,16:00~23:30,"시급8,590",3시간전
서울 용산구,한남순천향,17:00~24:00,"시급8,590",4시간전
대구 달서구,상인네거리,00:00~01:00,"시급8,590",4시간전
대구 달서구,상인네거리,00:00~01:00,"시급8,590",4시간전
대구 달서구,상인네거리,00:00~01:00,"시급8,590",4시간전
서울 서대문,KFC 신촌역,16:00~24:30,"시급8,590",4시간전
대구 달서구,상인네거리,00:00~01:00,"시급8,590",4시간전
경기 성남시,분당정자,09:30~23:00,"시급8,590",4시간전
대전 서구,대전시청역,시간협의,"시급8,590",4시간전
대전 유성구,KFC 노은역,09:00~24:00,"시급8,590",4시간전
